Report ID,Date,Report Type,Location,Department,Category,Report,Precursor,Risk,Data Status,Source / Provenance,Source Reference,Dataset Tier
OIL-PUBLIC-0001,2014-03-31,Incident,Drilling Rig / Derrick Floor,Drilling,Struck By / Line of Fire,"A fatal accident took place in Drilling Rig of OIL, where one of the Contractor Employees sustained serious injury due to being hit by the break out tong at Derrick floor and succumbed to the injuries on the same day.",Struck By / Line of Fire,HIGH,ACTUAL_PUBLICLY_REPORTED,Oil India Limited Sustainability Report 2014-15,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
OIL-DERIVED-0002,2025-10-16,Unsafe Act,Duliajan,Electrical,Struck-by / Line-of-Fire,"At a drilling rig, personnel were exposed to the swing path of a break-out tong during drilling activity. The activity should be stopped until the identified controls are verified.",Struck By / Line of Fire,HIGH,DERIVED_FROM_OIL_PUBLIC_DOCUMENT,Derived representative safety observation grounded in publicly disclosed OIL HSE requirements/practices,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
OIL-DERIVED-0003,2024-08-16,Unsafe Act,Moran,Production,Struck-by / Line-of-Fire,A worker was positioned close to moving drilling equipment while the operation was in progress. The condition requires verification against the applicable OIL safety procedure.,Struck By / Line of Fire,HIGH,DERIVED_FROM_OIL_PUBLIC_DOCUMENT,Derived representative safety observation grounded in publicly disclosed OIL HSE requirements/practices,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
OIL-DERIVED-0004,2024-02-02,Unsafe Act,Moran,Maintenance,Struck-by / Line-of-Fire,Personnel entered an exclusion zone around moving equipment during a drilling task. The activity should be stopped until the identified controls are verified.,Struck By / Line of Fire,HIGH,DERIVED_FROM_OIL_PUBLIC_DOCUMENT,Derived representative safety observation grounded in publicly disclosed OIL HSE requirements/practices,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
OIL-DERIVED-0005,2025-06-01,Near Miss,Duliajan,Maintenance,Struck-by / Line-of-Fire,A worker was exposed to the line of fire while heavy equipment was being operated. The condition requires verification against the applicable OIL safety procedure.,Struck By / Line of Fire,HIGH,DERIVED_FROM_OIL_PUBLIC_DOCUMENT,Derived representative safety observation grounded in publicly disclosed OIL HSE requirements/practices,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
OIL-DERIVED-0006,2024-08-13,Unsafe Condition,Tengakhat,Drilling,Struck-by / Line-of-Fire,Barricading was inadequate around an area where equipment movement could strike personnel. The activity should be stopped until the identified controls are verified.,Struck By / Line of Fire,HIGH,DERIVED_FROM_OIL_PUBLIC_DOCUMENT,Derived representative safety observation grounded in publicly disclosed OIL HSE requirements/practices,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
OIL-DERIVED-0007,2025-12-15,Unsafe Condition,Kumchai,Electrical,Struck-by / Line-of-Fire,A worker approached the operating area before the moving equipment had been brought to a safe state. The activity should be stopped until the identified controls are verified.,Struck By / Line of Fire,HIGH,DERIVED_FROM_OIL_PUBLIC_DOCUMENT,Derived representative safety observation grounded in publicly disclosed OIL HSE requirements/practices,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
OIL-DERIVED-0008,2024-08-08,Unsafe Condition,Moran,Production,Struck-by / Line-of-Fire,Personnel remained close to a moving load during an active field operation. The condition requires verification against the applicable OIL safety procedure.,Struck By / Line of Fire,HIGH,DERIVED_FROM_OIL_PUBLIC_DOCUMENT,Derived representative safety observation grounded in publicly disclosed OIL HSE requirements/practices,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
OIL-DERIVED-0009,2024-04-09,Unsafe Condition,Kumchai,Electrical,Struck-by / Line-of-Fire,A contractor worker was inside the potential impact zone of moving equipment. The observation requires HSE review and corrective action.,Struck By / Line of Fire,HIGH,DERIVED_FROM_OIL_PUBLIC_DOCUMENT,Derived representative safety observation grounded in publicly disclosed OIL HSE requirements/practices,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
OIL-DERIVED-0010,2026-01-17,Unsafe Condition,Moran,Projects,Struck-by / Line-of-Fire,The work area did not maintain a clear separation between personnel and moving equipment. The observation requires HSE review and corrective action.,Struck By / Line of Fire,HIGH,DERIVED_FROM_OIL_PUBLIC_DOCUMENT,Derived representative safety observation grounded in publicly disclosed OIL HSE requirements/practices,https://www.oil-india.com/files/sustainability_documents/OIL_Sustainability_Report_2014_151.pdf,PUBLIC_SOURCE_SEED
